Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo,
2026/4/11,1,表,0,0,0,-,-,-,藤川泰斗,左,竹内勇輝,左,ストレート,,7,,見逃し,,,,,0,0,,
2026/4/11,1,表,0,1,0,-,-,-,藤川泰斗,左,竹内勇輝,左,ストレート,,1,,インプレー,,アウト,ゴロ,投手,1,0,,
2026/4/11,1,表,0,0,1,-,-,-,藤川泰斗,左,泉 航平,左,ストレート,,7,,見逃し,,,,,0,0,,
2026/4/11,1,表,0,1,1,-,-,-,藤川泰斗,左,泉 航平,左,ストレート,,4,,ファウル,,,,,0,0,,
2026/4/11,1,表,0,2,1,-,-,-,藤川泰斗,左,泉 航平,左,ストレート,,11,,インプレー,,アウト,フライ,中堅手,1,0,,
2026/4/11,1,表,0,0,2,-,-,-,藤川泰斗,左,架谷 岳,右,ストレート,,2,,見逃し,,,,,0,0,,
2026/4/11,1,表,0,1,2,-,-,-,藤川泰斗,左,架谷 岳,右,ストレート,,12,,空振り,,,,,0,0,,
2026/4/11,1,表,0,2,2,-,-,-,藤川泰斗,左,架谷 岳,右,ストレート,,5,,ファウル,,,,,0,0,,
2026/4/11,1,表,0,2,2,-,-,-,藤川泰斗,左,架谷 岳,右,スライダー,,7,,インプレー,,二塁打,ライナー,左翼手,0,0,,
2026/4/11,1,表,0,0,2,-,○,-,藤川泰斗,左,山本翔士,左,スライダー,,7,,見逃し,,,,,0,0,,
2026/4/11,1,表,0,1,2,-,○,-,藤川泰斗,左,山本翔士,左,チェンジアップ,,1,,インプレー,,単打,ライナー,中堅手,0,1,,
2026/4/11,1,表,0,0,2,○,-,-,藤川泰斗,左,津澤泰成,左,ストレート,,2,,空振り,,,,,0,0,,
2026/4/11,1,表,0,1,2,○,-,-,藤川泰斗,左,津澤泰成,左,ストレート,,11,,空振り,,,,,0,0,,
2026/4/11,1,表,0,2,2,○,-,-,藤川泰斗,左,津澤泰成,左,ストレート,,11,,ボール,,,,,0,0,,
2026/4/11,1,表,1,2,2,○,-,-,藤川泰斗,左,津澤泰成,左,ストレート,,3,,ファウル,,,,,0,0,,
2026/4/11,1,表,1,2,2,○,-,-,藤川泰斗,左,津澤泰成,左,ストレート,,13,,ファウル,,,,,0,0,,
2026/4/11,1,表,1,2,2,○,-,-,藤川泰斗,左,津澤泰成,左,ストレート,,3,外角,インプレー,,アウト,フライ,一塁手,1,0,,
2026/4/11,1,裏,0,0,0,-,-,-,野﨑勇一郎,右,久保誓真,右,ストレート,,7,,見逃し,,,,,0,0,,
2026/4/11,1,裏,0,1,0,-,-,-,野﨑勇一郎,右,久保誓真,右,ストレート,,14,,ボール,,,,,0,0,,
2026/4/11,1,裏,1,1,0,-,-,-,野﨑勇一郎,右,久保誓真,右,チェンジアップ,,1,,ファウル,,,,,0,0,,
2026/4/11,1,裏,1,2,0,-,-,-,野﨑勇一郎,右,久保誓真,右,チェンジアップ,,6,,インプレー,,アウト,ゴロ,遊撃手,1,0,,
2026/4/11,1,裏,0,0,1,-,-,-,野﨑勇一郎,右,土田悠翔,左,ストレート,,1,,見逃し,,,,,0,0,,
2026/4/11,1,裏,0,1,1,-,-,-,野﨑勇一郎,右,土田悠翔,左,ストレート,,1,内角,インプレー,,単打,ゴロ,中堅手,0,0,,
2026/4/11,1,裏,0,0,1,○,-,-,野﨑勇一郎,右,池邉由伸,左,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,1,裏,1,0,1,○,-,-,野﨑勇一郎,右,池邉由伸,左,ストレート,,1,,インプレー,,単打,ゴロ,右翼手,0,0,,
2026/4/11,1,裏,0,0,1,○,○,-,野﨑勇一郎,右,細川叶人,右,チェンジアップ,,1,,ファウル,,,,,0,0,,
2026/4/11,1,裏,0,1,1,○,○,-,野﨑勇一郎,右,細川叶人,右,ストレート,,12,外角,ボール,,,,,0,0,,
2026/4/11,1,裏,1,1,1,○,○,-,野﨑勇一郎,右,細川叶人,右,カーブ,,4,,ファウル,,,,,0,0,,
2026/4/11,1,裏,1,2,1,○,○,-,野﨑勇一郎,右,細川叶人,右,ストレート,,2,,インプレー,,二塁打,ライナー,右翼手,0,1,,
2026/4/11,1,裏,0,0,1,-,○,○,野﨑勇一郎,右,田丸晃己,右,ストレート,,11,外角,ボール,,,,,0,0,,
2026/4/11,1,裏,1,0,1,-,○,○,野﨑勇一郎,右,田丸晃己,右,ストレート,,5,,見逃し,,,,,0,0,,
2026/4/11,1,裏,1,1,1,-,○,○,野﨑勇一郎,右,田丸晃己,右,ストレート,,11,,インプレー,,アウト,ゴロ,遊撃手,1,0,,
2026/4/11,1,裏,0,0,2,○,-,○,野﨑勇一郎,右,山田久敬,左,ストレート,,12,外角,ファウル,,,,,0,0,,
2026/4/11,1,裏,0,1,2,○,-,○,野﨑勇一郎,右,山田久敬,左,ストレート,,1,,見逃し,,,,,0,0,,
2026/4/11,1,裏,0,2,2,-,○,○,野﨑勇一郎,右,山田久敬,左,ストレート,,11,,ボール,,,,,0,0,,
2026/4/11,1,裏,1,2,2,-,○,○,野﨑勇一郎,右,山田久敬,左,ストレート,,11,内角,ボール,,,,,0,0,,
2026/4/11,1,裏,2,2,2,-,○,○,野﨑勇一郎,右,山田久敬,左,スライダー,,6,,ファウル,,,,,0,0,,
2026/4/11,1,裏,2,2,2,-,○,○,野﨑勇一郎,右,山田久敬,左,ストレート,,12,,ボール,,,,,0,0,,
2026/4/11,1,裏,3,2,2,-,○,○,野﨑勇一郎,右,山田久敬,左,チェンジアップ,,13,外角,ボール,四球,,,,0,0,,
2026/4/11,1,裏,0,0,2,○,○,○,野﨑勇一郎,右,辻本匡登,右,ストレート,,12,外角,ボール,,,,,0,0,,
2026/4/11,1,裏,1,0,2,○,○,○,野﨑勇一郎,右,辻本匡登,右,チェンジアップ,,14,,ボール,,,,,0,0,,
