Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo,
2026/5/3,1,表,0,0,0,-,-,-,石井海瑛,右,市川 僚祐,右,チェンジアップ,,9,外角,見逃し,,,,,0,0,,
2026/5/3,1,表,0,1,0,-,-,-,石井海瑛,右,市川 僚祐,右,ストレート,125,14,外角,ボール,,,,,0,0,,
2026/5/3,1,表,1,1,0,-,-,-,石井海瑛,右,市川 僚祐,右,カーブ,91,12,,ボール,,,,,0,0,,
2026/5/3,1,表,2,1,0,-,-,-,石井海瑛,右,市川 僚祐,右,スライダー,117,9,外角,空振り,,,,,0,0,,
2026/5/3,1,表,2,2,0,-,-,-,石井海瑛,右,市川 僚祐,右,スライダー,121,3,外角,空振り,空振り三振,,,,1,0,,
2026/5/3,1,表,0,0,1,-,-,-,石井海瑛,右,村井虹七登,左,ストレート,123,14,,ボール,,,,,0,0,,
2026/5/3,1,表,1,0,1,-,-,-,石井海瑛,右,村井虹七登,左,スライダー,118,14,内角,ファウル,,,,,0,0,,
2026/5/3,1,表,1,1,1,-,-,-,石井海瑛,右,村井虹七登,左,ストレート,125,7,,見逃し,,,,,0,0,,
2026/5/3,1,表,1,2,1,-,-,-,石井海瑛,右,村井虹七登,左,カーブ,99,14,,空振り,空振り三振,,,,1,0,,
2026/5/3,1,表,0,0,2,-,-,-,石井海瑛,右,植松健太,左,カーブ,,12,内角,ボール,,,,,0,0,,
2026/5/3,1,表,1,0,2,-,-,-,石井海瑛,右,植松健太,左,ストレート,,8,内角,インプレー,,アウト,ゴロ,二塁手,1,0,,
2026/5/3,1,裏,0,0,0,-,-,-,的場洸稀,右,茂路晴実,左,ストレート,130,14,外角,ボール,,,,,0,0,,
2026/5/3,1,裏,1,0,0,-,-,-,的場洸稀,右,茂路晴実,左,カーブ,106,13,真ん中,ボール,,,,,0,0,,
2026/5/3,1,裏,2,0,0,-,-,-,的場洸稀,右,茂路晴実,左,ストレート,136,13,,ボール,,,,,0,0,,
2026/5/3,1,裏,3,0,0,-,-,-,的場洸稀,右,茂路晴実,左,ストレート,137,1,,見逃し,,,,,0,0,,
2026/5/3,1,裏,3,1,0,-,-,-,的場洸稀,右,茂路晴実,左,ストレート,133,9,真ん中,見逃し,,,,,0,0,,
2026/5/3,1,裏,3,2,0,-,-,-,的場洸稀,右,茂路晴実,左,ストレート,138,11,,空振り,空振り三振,,,,1,0,,
2026/5/3,1,裏,0,0,1,-,-,-,的場洸稀,右,鈴野愁馬,右,ストレート,140,11,外角,ボール,,,,,0,0,,
2026/5/3,1,裏,1,0,1,-,-,-,的場洸稀,右,鈴野愁馬,右,ストレート,141,14,外角,ボール,,,,,0,0,,
2026/5/3,1,裏,2,0,1,-,-,-,的場洸稀,右,鈴野愁馬,右,ストレート,142,5,真ん中,ファウル,,,,,0,0,,
2026/5/3,1,裏,2,1,1,-,-,-,的場洸稀,右,鈴野愁馬,右,ストレート,142,11,外角,ファウル,,,,,0,0,,
2026/5/3,1,裏,2,2,1,-,-,-,的場洸稀,右,鈴野愁馬,右,スライダー,127,5,外角,インプレー,,単打,ゴロ,三塁手,0,0,,
